1.999999955296516418e-02,-1.999999955296516418e-02,1.999999955296516418e-02,1.999999955296516418e-02,1.999999955296516418e-02,1.999999955296516418e-02
3.999999910593032837e-02,-3.999999910593032837e-02,3.999999910593032837e-02,3.999999910593032837e-02,3.999999910593032837e-02,3.999999910593032837e-02
5.999999865889549255e-02,-5.999999865889549255e-02,5.999999865889549255e-02,5.999999865889549255e-02,5.999999865889549255e-02,5.999999865889549255e-02
7.999999821186065674e-02,-7.999999821186065674e-02,7.999999821186065674e-02,7.999999821186065674e-02,7.999999821186065674e-02,7.999999821186065674e-02
1.000000014901161194e-01,-5.999999865889549255e-02,1.000000014901161194e-01,5.999999865889549255e-02,1.000000014901161194e-01,1.000000014901161194e-01
1.199999973177909851e-01,-3.999999910593032837e-02,1.199999973177909851e-01,3.999999910593032837e-02,1.199999973177909851e-01,1.199999973177909851e-01
1.400000005960464478e-01,-1.999999955296516418e-02,1.400000005960464478e-01,1.999999955296516418e-02,1.400000005960464478e-01,1.400000005960464478e-01
1.599999964237213135e-01,0.000000000000000000e+00,1.599999964237213135e-01,0.000000000000000000e+00,1.599999964237213135e-01,1.599999964237213135e-01
1.800000071525573730e-01,1.999999955296516418e-02,1.800000071525573730e-01,-1.999999955296516418e-02,1.800000071525573730e-01,1.800000071525573730e-01
1.599999964237213135e-01,3.999999910593032837e-02,2.000000029802322388e-01,-3.999999910593032837e-02,2.000000029802322388e-01,2.000000029802322388e-01
1.400000005960464478e-01,5.999999865889549255e-02,2.199999988079071045e-01,-5.999999865889549255e-02,2.199999988079071045e-01,2.199999988079071045e-01
1.199999973177909851e-01,7.999999821186065674e-02,2.399999946355819702e-01,-7.999999821186065674e-02,2.399999946355819702e-01,2.399999946355819702e-01
1.000000014901161194e-01,1.000000014901161194e-01,2.599999904632568359e-01,-1.000000014901161194e-01,2.599999904632568359e-01,2.599999904632568359e-01
7.999999821186065674e-02,1.199999973177909851e-01,2.800000011920928955e-01,-1.199999973177909851e-01,2.800000011920928955e-01,2.399999946355819702e-01
1.000000014901161194e-01,1.400000005960464478e-01,3.000000119209289551e-01,-1.400000005960464478e-01,3.000000119209289551e-01,2.199999988079071045e-01
1.199999973177909851e-01,1.599999964237213135e-01,3.199999928474426270e-01,-1.599999964237213135e-01,2.800000011920928955e-01,2.000000029802322388e-01
1.400000005960464478e-01,1.800000071525573730e-01,3.400000035762786865e-01,-1.800000071525573730e-01,2.599999904632568359e-01,1.800000071525573730e-01
1.599999964237213135e-01,2.000000029802322388e-01,3.600000143051147461e-01,-1.599999964237213135e-01,2.399999946355819702e-01,1.599999964237213135e-01
1.800000071525573730e-01,2.199999988079071045e-01,3.799999952316284180e-01,-1.400000005960464478e-01,2.199999988079071045e-01,1.400000005960464478e-01
2.000000029802322388e-01,2.399999946355819702e-01,4.000000059604644775e-01,-1.199999973177909851e-01,2.000000029802322388e-01,1.199999973177909851e-01
1.849853098392486572e-01,2.599999904632568359e-01,4.199999868869781494e-01,-1.000000014901161194e-01,1.800000071525573730e-01,1.000000014901161194e-01
1.649853140115737915e-01,2.800000011920928955e-01,4.399999976158142090e-01,-7.999999821186065674e-02,1.599999964237213135e-01,7.999999821186065674e-02
1.535176485776901245e-01,3.000000119209289551e-01,4.600000083446502686e-01,-5.999999865889549255e-02,1.400000005960464478e-01,5.999999865889549255e-02
1.735176593065261841e-01,3.199999928474426270e-01,4.799999892711639404e-01,-3.999999910593032837e-02,1.199999973177909851e-01,3.999999910593032837e-02
1.935176551342010498e-01,3.400000035762786865e-01,5.000000000000000000e-01,-1.999999955296516418e-02,1.000000014901161194e-01,1.999999955296516418e-02
1.975176483392715454e-01,3.600000143051147461e-01,5.199999809265136719e-01,0.000000000000000000e+00,7.999999821186065674e-02,-2.775557561562891351e-17
1.855176538228988647e-01,3.799999952316284180e-01,5.400000214576721191e-01,1.999999955296516418e-02,5.999999865889549255e-02,-1.999999955296516418e-02
1.815176457166671753e-01,4.000000059604644775e-01,5.600000023841857910e-01,3.999999910593032837e-02,3.999999910593032837e-02,-3.999999910593032837e-02
1.615176498889923096e-01,4.199999868869781494e-01,5.799999833106994629e-01,5.999999865889549255e-02,1.999999955296516418e-02,-5.999999865889549255e-02
1.495176553726196289e-01,4.000000059604644775e-01,6.000000238418579102e-01,7.999999821186065674e-02,-2.775557561562891351e-17,-7.999999821186065674e-02
1.295176595449447632e-01,3.799999952316284180e-01,6.200000047683715820e-01,1.000000014901161194e-01,-1.999999955296516418e-02,-1.000000014901161194e-01
1.495176553726196289e-01,3.600000143051147461e-01,6.399999856948852539e-01,7.999999821186065674e-02,-3.999999910593032837e-02,-1.199999973177909851e-01
1.695176512002944946e-01,3.400000035762786865e-01,6.600000262260437012e-01,5.999999865889549255e-02,-5.999999865889549255e-02,-1.400000005960464478e-01
1.895176470279693604e-01,3.199999928474426270e-01,6.800000071525573730e-01,3.999999910593032837e-02,-7.999999821186065674e-02,-1.599999964237213135e-01
2.095176577568054199e-01,3.000000119209289551e-01,6.999999880790710449e-01,4.399999976158142090e-02,-1.000000014901161194e-01,-1.800000071525573730e-01
